Event	ID	Name			Wwise Object Path	Notes
	1264945005	PlaySwords			\Default Work Unit\PlaySwords	
	1640319276	InitializeMusic			\Default Work Unit\InitializeMusic	

State Group	ID	Name			Wwise Object Path	Notes
	1208172739	States			\Default Work Unit\States	

State	ID	Name	State Group			Notes
	748895195	None	States			
	2607556080	Menu	States			
	2727857118	Prepare	States			
	2937832959	Battle	States			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2470328564	Intensity			\Default Work Unit\Intensity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	56031754	ViolinsStacB_P1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacB_P1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\ViolinsStacB_P1		771616
	106587037	CelloLushBP3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelloLushBP3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P3\CelloLushBP3		1033760
	110810038	DRUMSP1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DRUMSP1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\DRUMSP1		1558048
	116631487	ViolinsStacB_P3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacB_P3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P3\ViolinsStacB_P3		771616
	124058686	DragonDrumP3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DragonDrumP3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\Menu\Phrase3\DragonDrumP3		1558048
	178687406	AmbientBrass_P2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\AmbientBrass_P2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\PrepareMusic\P4\AmbientBrass_P2		2082304
	200187068	DragonDrumP2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DragonDrumP2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\Menu\Phrase2\DragonDrumP2		1558048
	252106503	DRUMSP3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DRUMSP3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\DRUMSP3		1558048
	260323009	DragonDrumP4	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DragonDrumP4_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\Menu\Phrase4\DragonDrumP4		1558048
	325792117	ViolinsStacP4	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacP4_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\ViolinsStacP4		771616
	344008562	CelliLushP2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelliLushP2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P2\CelliLushP2		1033760
	386495271	DragonDrumP5	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\DragonDrumP5_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\Menu\Phrase5\DragonDrumP5		1820192
	402249305	Sword3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\Sword3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Swords\Sword3		524432
	455559373	CelloLushBP1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelloLushBP1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\CelloLushBP1		1033760
	458884437	BassStacB_P3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\BassStacB_P3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P3\BassStacB_P3		509472
	518447516	ViolinsStacP6	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacP6_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\ViolinsStacP6		771616
	536671047	ViolasStacB_P1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolasStacB_P1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\ViolasStacB_P1		509472
	579367614	BassStacB_P1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\BassStacB_P1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\BassStacB_P1		300428
	599226331	BassStacB_P4_2	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\BassStacB_P4.2_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\BassStacB_P4_2		771616
	603072917	ViolinsStacP3	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\ViolinsStacP3_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P1\ViolinsStacP3		771616
	611616185	CelloLushBP4_1	Y:\f16-game-jam\GameJam_WwiseProject\.cache\Mac\SFX\CelloLushBP4.1_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\BattleMusic1\P4\CelloLushBP4_1		600684
